category,item,role,notes
四旋翼无人机载平台部分,Pixhawk2.4.8飞控,整机主控,"运行 PX4 固件，负责姿态解算、电机调度和外设串口管理；外接 GPS 定位模块、蜂鸣器和安全开关"
四旋翼无人机载平台部分,4-in-1四合一电调,动力电调,"驱动无刷动力电机，集成 BEC 供电"
四旋翼无人机载平台部分,无刷动力电机,飞行动力执行元件,为无人机提供飞行动力
四旋翼无人机载平台部分,FFY航模锂电池,整机主电源,"多 S 航模动力锂电；标签提示最大 5C 充电，长期保存 3.8V 单节"
四旋翼无人机载平台部分,Waveshare ST3215串行总线舵机,云台舵机,用于摄像头俯仰/旋转和巡检镜头姿态调节
四旋翼无人机载平台部分,图传模块,模拟视频传输,"黑色多路端子盒，板载 4R7 功率电感；用于机载图像回传地面"
四旋翼无人机载平台部分,ESP32-S3拓展底板,机载协处理器,"拓展 IO，管理继电器、外设传感器，并与 Pixhawk 串口通信"
地面巡检小车平台部分,Arduino Nano主控板,小车运动控制核心,负责地面小车底层运动控制
地面巡检小车平台部分,JGB37-520直流减速电机（DC12V）,小车行走驱动电机,带编码器
地面巡检小车平台部分,电机驱动模块（红色双H桥）,电机驱动,控制直流减速电机正反转和调速
地面巡检小车平台部分,5V单路继电器模块,开关量控制,控制车灯和外部负载通断
地面巡检小车平台部分,钥匙电源锁开关,整机电源机械锁,用于小车整机电源开关控制
地面巡检小车平台部分,绿色封装电源稳压盒,电源降压供电单元,为板卡和传感器供电
地面巡检小车平台部分,超声波测距传感器,避障距离检测,用于小车近距离障碍物检测
地面巡检小车平台部分,LED大功率探照灯,巡检补光照明,用于低光照或夜间巡检补光
通用外设,模拟CVBS摄像头,图像采集,配合机载图传回传画面
通用外设,"各类线束、XT60动力插头、端子、扎线、碳纤机架",机械结构与接线配件,用于整机结构装配和动力/信号连接
